"GeneID"	"Chr"	"Strand"	"NExons"	"F"	"P.Value"	"FDR"
"626840"	"ENSMUSG00000032187"	"9"	"+"	157	5.80428180656746	2.26067286399524e-57	3.14866516497257e-53
"199013"	"ENSMUSG00000022364"	"15"	"+"	112	3.95914816811638	2.51589000405512e-25	1.75206579882399e-21
"533504"	"ENSMUSG00000038521"	"6"	"-"	74	5.2524917591495	4.07522493647381e-25	1.89199109717357e-21
"547612"	"ENSMUSG00000002992"	"7"	"-"	21	15.6589488823501	1.61024164877167e-21	4.61999848896395e-18
"121467"	"ENSMUSG00000020604"	"11"	"+"	33	9.26198568205381	1.65852903825529e-21	4.61999848896395e-18
"291098"	"ENSMUSG00000075044"	"19"	"-"	64	5.13499599486815	2.0321488698648e-21	4.71729490991282e-18
"103422"	"ENSMUSG00000017428"	"11"	"+"	126	3.04266047950285	1.44253781857543e-18	2.87023810530265e-15
"105769"	"ENSMUSG00000059439"	"11"	"+"	203	2.38045703991469	1.27704266747732e-17	2.22333128407801e-14
"258845"	"ENSMUSG00000079507"	"17"	"+"	18	13.4585923705122	6.08339036481707e-17	9.4143845556858e-14
"191549"	"ENSMUSG00000022119"	"14"	"-"	114	2.85370847999299	3.60008571341056e-15	5.01419938163822e-12
