"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000024526"	465.87904057095	-5.87046839973432	0.248710985096554	-23.6035750389364	3.54172061212027e-123	6.05386304229718e-119
"ENSMUSG00000032080"	14291.817820761	-4.53420382585554	0.227775355543681	-19.9064723882563	3.57627806589126e-88	3.05646604901397e-84
"ENSMUSG00000026475"	3141.25707045318	-4.42801446943252	0.253079675858979	-17.4965233948691	1.52285516669022e-68	8.67672112141197e-65
"ENSMUSG00000069170"	343.928323594871	-3.64998635563217	0.223969170415483	-16.2968249105942	1.03953895528758e-59	4.44220984068266e-56
"ENSMUSG00000042041"	651.002326876615	-2.9732805386817	0.18935137039689	-15.702450594625	1.45510674626935e-55	4.9744279227964e-52
"ENSMUSG00000034634"	199.350753769816	-4.35615334998604	0.280600419030564	-15.5244007298205	2.37209744224798e-54	6.75771026339078e-51
"ENSMUSG00000037953"	112.453080850094	-4.66927767780554	0.316967753539527	-14.7310810821116	4.07140189070281e-49	9.94178178825474e-46
"ENSMUSG00000032231"	883.324337619713	-2.45179269719554	0.167522815691852	-14.6355747846638	1.665620986149e-48	3.55880743953061e-45
"ENSMUSG00000026043"	833.867936897615	-2.34485012036826	0.163023529263307	-14.3835072824425	6.56799354454926e-47	1.24740792952201e-43
"ENSMUSG00000028051"	339.399128135267	-3.24358218527228	0.228246619247094	-14.2108662812695	7.84490197425289e-46	1.34092909445905e-42
"ENSMUSG00000038576"	842.879994522801	2.13079086497541	0.150058525825407	14.1997320928941	9.19633091039331e-46	1.42902622046684e-42
"ENSMUSG00000030278"	454.428775970098	-3.33999220569638	0.242850506890348	-13.7532848848632	4.86685907369458e-43	6.93243517888846e-40
"ENSMUSG00000067225"	6670.87266664328	2.79284437050709	0.204586014979854	13.6511988406544	1.98584471039522e-42	2.61108027959889e-39
"ENSMUSG00000042248"	9297.15167240665	2.45327735974172	0.187842669748335	13.0602773215933	5.55251474208289e-39	6.77922389188734e-36
"ENSMUSG00000017723"	355.412021556401	-2.57606534884201	0.197505020628702	-13.0430372890868	6.96270301841281e-39	7.43834266835814e-36
"ENSMUSG00000028664"	72.2600362943376	-3.9929737132742	0.306103063112143	-13.044540203805	6.82675982135205e-39	7.43834266835814e-36
"ENSMUSG00000022364"	407.59485645732	-2.12286349780689	0.165756367152831	-12.8071309372361	1.49562932429699e-37	1.50381129648285e-34
"ENSMUSG00000049723"	92.1254767114568	-3.52889489507744	0.287388285743377	-12.2791883668792	1.17167786109849e-34	1.11263831554202e-31
"ENSMUSG00000041293"	109.937017101807	4.12285991271805	0.336357487701321	12.2573751543152	1.53388321365164e-34	1.37992977741829e-31
"ENSMUSG00000041237"	6257.96125240403	-2.4047270375987	0.199237538537473	-12.0696483968377	1.52785695455445e-33	1.30578294620996e-30
"ENSMUSG00000026638"	853.932336194695	1.59440921003878	0.137857624925216	11.5656222200527	6.15435350143524e-31	5.00935068571583e-28
"ENSMUSG00000053168"	172.28114201942	-2.3567131172865	0.204357339989404	-11.5323145104976	9.0672746267709e-31	7.04486023615432e-28
"ENSMUSG00000028179"	10149.8653904371	1.55715324889367	0.136253773455153	11.4283311897134	3.0185416436046e-30	2.24330140496232e-27
"ENSMUSG00000027712"	2478.84465601074	-1.44305862731094	0.126330197643823	-11.4229111821666	3.21288130555175e-30	2.27909326704639e-27
"ENSMUSG00000029661"	296.522745348694	-2.47979021713702	0.217149981165559	-11.4197118683901	3.33337223870355e-30	2.27909326704639e-27
"ENSMUSG00000030302"	111.769821375382	-3.23280875646828	0.284109277957201	-11.3787510908224	5.33583756372928e-30	3.50790274910864e-27
"ENSMUSG00000017718"	691.54649922209	1.54308894137994	0.135864392199421	11.3575670298882	6.80124249234616e-30	4.30569029339529e-27
"ENSMUSG00000073460"	101.790613329655	-3.01127613285037	0.266792802208903	-11.2869466789156	1.52233536069726e-29	9.29331368585653e-27
"ENSMUSG00000021208"	324.657083277417	-2.41570704606671	0.216191262946758	-11.1739346592449	5.47028026077317e-29	3.22425863784123e-26
"ENSMUSG00000055730"	4310.69530525173	1.9787238699095	0.178149083446967	11.1071234924346	1.15830842247502e-28	6.59965528845515e-26
"ENSMUSG00000026890"	199.895713707567	-2.30445562589337	0.208823597763022	-11.0354176950276	2.57850590779254e-28	1.42175488651284e-25
"ENSMUSG00000054827"	13037.0471280994	1.80208644128783	0.164845710264047	10.9319583651966	8.10794546273309e-28	4.33090974357802e-25
"ENSMUSG00000029816"	53.7047408252096	-3.60262610142043	0.331462243041792	-10.8688883184991	1.62164671062598e-27	8.39963855294846e-25
"ENSMUSG00000060317"	944.115603028323	-1.73045686372811	0.15971730574279	-10.834498213455	2.362570979189e-27	1.1877478160964e-24
"ENSMUSG00000021336"	1488.47075847574	-1.64121535962033	0.151622435566439	-10.8243569197988	2.63925309149915e-27	1.288935802657e-24
"ENSMUSG00000020604"	651.100964844005	-1.5253228001582	0.141091838527589	-10.8108506918346	3.05820774927193e-27	1.45205402939736e-24
"ENSMUSG00000022371"	1414.69602168656	-1.62752952105354	0.151687531441458	-10.7294878200432	7.40052149336362e-27	3.41884091583958e-24
"ENSMUSG00000025002"	280.297446450039	2.23662796092913	0.208541070607376	10.7251197781567	7.75864870886708e-27	3.48996269422803e-24
"ENSMUSG00000041577"	856.977399958834	-1.36223037122851	0.127311561097389	-10.6999738239518	1.01806972363769e-26	4.46201686824076e-24
"ENSMUSG00000001506"	196.729373536273	-2.88981434458946	0.27114852307731	-10.6576805648523	1.60551519387639e-26	6.86076780223229e-24
"ENSMUSG00000026956"	244.431238639767	-2.16333813822417	0.204380355048262	-10.5848633921461	3.50291339754924e-26	1.46037313912949e-23
"ENSMUSG00000002992"	4870.90488391314	-1.2369503311361	0.117952705076963	-10.4868330940694	9.93010769743222e-26	4.04131740171926e-23
"ENSMUSG00000041653"	97.1218929112337	-3.26322381809991	0.311366353718308	-10.4803353963291	1.06365851222427e-25	4.22816626731384e-23
"ENSMUSG00000034220"	431.80258325105	-2.2476799536487	0.214757653356076	-10.4661227133171	1.23602482037589e-25	4.80167551242843e-23
"ENSMUSG00000032548"	1013.47560864554	1.59800838368285	0.153331817020266	10.4218968687473	1.96984696788085e-25	7.48235427155276e-23
"ENSMUSG00000002831"	567.05839625014	-2.54873097046722	0.24609230626482	-10.3568088297914	3.89748827952733e-25	1.44825580786871e-22
"ENSMUSG00000033581"	66.838506046267	-2.80934823581229	0.27370694527108	-10.2640736172402	1.02298085170862e-24	3.72038546771391e-22
"ENSMUSG00000059060"	53.8950912627878	-3.16029516178193	0.310471292046005	-10.1790253809155	2.46012929120447e-24	8.76062291136626e-22
"ENSMUSG00000030827"	81.0561056021998	-2.73557436655403	0.269709691917599	-10.1426624571941	3.57228141224646e-24	1.24614298325569e-21
"ENSMUSG00000030257"	95.8149130558964	2.53114420156505	0.250018339122829	10.1238341573077	4.33109244951583e-24	1.48062726479148e-21
"ENSMUSG00000020427"	446.114818839837	-1.81056674961743	0.181265011068582	-9.98850654598976	1.71140678513092e-23	5.73589728985153e-21
"ENSMUSG00000072115"	2643.72186056462	1.57845688013804	0.158682583088895	9.94725980263234	2.59222612697232e-23	8.52094638237266e-21
"ENSMUSG00000012123"	57.1801778858593	-2.90647595511739	0.292409430074447	-9.93974768316262	2.79534272943785e-23	9.01524401401531e-21
"ENSMUSG00000003053"	33916.1789956889	2.1186160326747	0.213822659618285	9.90828584985728	3.83163429574687e-23	1.21285416698521e-20
"ENSMUSG00000028655"	1799.22455513953	-2.09712830747123	0.212440067654703	-9.87162323295749	5.52629662292272e-23	1.71747251228396e-20
"ENSMUSG00000051579"	525.98057046391	-2.60056906763164	0.264937399281187	-9.81578695453095	9.62837628129084e-23	2.93888992457329e-20
"ENSMUSG00000054793"	103.611637365016	2.44312092390081	0.250006721504024	9.77222095951325	1.48167769264072e-22	4.44321347373821e-20
"ENSMUSG00000031434"	114.494587308197	-2.43047540729047	0.249505683598671	-9.74116249471847	2.01238899880163e-22	5.9306491649166e-20
"ENSMUSG00000001095"	38.7432255117577	3.22948759776051	0.334324000958488	9.65975397668656	4.46935994562081e-22	1.29482660255079e-19
"ENSMUSG00000029254"	44.8036752955362	-3.01190038511329	0.312108123283672	-9.65018261436214	4.90682718918292e-22	1.39787328574506e-19
"ENSMUSG00000028555"	48.502560894371	-3.02649577244944	0.316719802203761	-9.55575164985215	1.22690033542632e-21	3.43793564482657e-19
"ENSMUSG00000031375"	2072.06896027565	-1.20886766571445	0.127178721042934	-9.50526672859336	1.99535993181131e-21	5.50107859910496e-19
"ENSMUSG00000003644"	355.587705878966	-1.45998288092257	0.154206169758887	-9.46773325091571	2.85982060873369e-21	7.66761853308407e-19
"ENSMUSG00000029162"	11968.6739779941	-1.22172846329586	0.129046804955749	-9.46732825903593	2.87092719895501e-21	7.66761853308407e-19
"ENSMUSG00000004105"	260.739689153645	-1.56954129372262	0.165835320019868	-9.46445723103244	2.95089575080712e-21	7.75994785669939e-19
"ENSMUSG00000040420"	63.5236614918686	-2.53706402975142	0.268509797725206	-9.44868325567717	3.4311968740778e-21	8.88628002554724e-19
"ENSMUSG00000023886"	138.619423344704	-2.04737124086223	0.217642072062373	-9.40705637224171	5.10225759300561e-21	1.30168491100366e-18
"ENSMUSG00000026335"	590.339174396727	-1.27519991402802	0.137683674615978	-9.26180912577152	2.00997256155342e-20	5.05242073450479e-18
"ENSMUSG00000019935"	939.46655985867	-2.33626804641033	0.252344707835522	-9.25824070752103	2.07828194708403e-20	5.14841642340686e-18
"ENSMUSG00000030934"	17280.8415585735	1.38173021474519	0.149386685766697	9.24935316459929	2.25855285983649e-20	5.51506343331217e-18
"ENSMUSG00000027907"	69.176400421597	-2.33936078369771	0.254652072229141	-9.18649812357588	4.05838206116679e-20	9.77041191148224e-18
"ENSMUSG00000020532"	1489.3083772685	-1.6528990644791	0.180072983030612	-9.17905083072966	4.34907865607457e-20	1.03248335372615e-17
"ENSMUSG00000035493"	824.644141708136	-1.34381079624811	0.146678356392388	-9.16161613273876	5.11258159434302e-20	1.19711448208363e-17
"ENSMUSG00000035184"	310.691324542034	-1.39089479662742	0.151947852980408	-9.15376406672072	5.49835727890931e-20	1.27004622930266e-17
"ENSMUSG00000005397"	462.53748112657	-1.49026088774462	0.162837361140372	-9.15183639250923	5.59738120572451e-20	1.27568049265932e-17
"ENSMUSG00000027332"	4070.50414794813	1.13283026553683	0.124466097362007	9.10151671456383	8.90790144149181e-20	2.0034573597292e-17
"ENSMUSG00000032310"	8893.14645614553	1.44161988693021	0.159012389354944	9.06608530805898	1.23369863103377e-19	2.73865074029353e-17
"ENSMUSG00000021876"	15906.3014801927	1.1637865188779	0.128864791498612	9.03106663460071	1.70006528270506e-19	3.72554049708686e-17
"ENSMUSG00000026827"	1092.67182900385	-1.35081439721394	0.149612622600556	-9.02874619623788	1.73649900072012e-19	3.7572123315581e-17
"ENSMUSG00000028838"	265.481153641121	-1.71437488122781	0.189944020996004	-9.02568489515065	1.7857478797943e-19	3.81547356366549e-17
"ENSMUSG00000025351"	109.313506537144	-2.33138850851076	0.259164958926294	-8.99577056315627	2.34580802540122e-19	4.89464858473606e-17
"ENSMUSG00000052684"	308.852150587665	-1.84706698344928	0.20532860642154	-8.99566317445926	2.34810263820486e-19	4.89464858473606e-17
"ENSMUSG00000038656"	3239.50024759192	1.91908758796791	0.213601357799437	8.98443534132332	2.60066232839228e-19	5.35579773243484e-17
"ENSMUSG00000021268"	46.3617119003425	2.99901094140603	0.334906570481262	8.95476889896917	3.40448013993631e-19	6.92771178951563e-17
"ENSMUSG00000054263"	3960.35672825084	1.63395372343432	0.183476473430991	8.90552174281286	5.31355382625991e-19	1.06852441826189e-16
"ENSMUSG00000059040"	515.21316652138	-1.27224801224551	0.143381533906362	-8.87316502748794	7.10958588037509e-19	1.41307152852618e-16
"ENSMUSG00000044748"	51.8535363826381	-2.54553865627337	0.287237178628729	-8.8621489335948	7.84866506123997e-19	1.54203714818132e-16
"ENSMUSG00000027408"	49.0628378422836	-2.51810185588112	0.284252660862878	-8.8586747024185	8.09712678693091e-19	1.57277486555693e-16
"ENSMUSG00000040152"	60.1244618956026	-2.68735930050883	0.304381345398088	-8.82892247221701	1.05688945909185e-18	2.02982151957943e-16
"ENSMUSG00000021259"	128.205797572767	-2.0473154076455	0.234592639958979	-8.72710843785848	2.61266548671316e-18	4.96203235159867e-16
"ENSMUSG00000036545"	114.997228063792	-1.82692486923174	0.209471842004046	-8.72157733351317	2.74352759641556e-18	5.1533095830254e-16
"ENSMUSG00000034371"	8563.92003931411	-1.50584430851829	0.172683901377047	-8.72023562422505	2.77623447576814e-18	5.15806259720705e-16
"ENSMUSG00000019558"	147.58024129324	-1.63947826809198	0.189401901119367	-8.65608137195376	4.88260129423403e-18	8.97401117444541e-16
"ENSMUSG00000041801"	97.8651474534164	-2.62301682225521	0.304284636201597	-8.62027361945867	6.67943116438897e-18	1.21459060524362e-15
