"GeneID"	"Chr"	"Start"	"End"	"Strand"	"Length"	"logFC"	"t"	"P.Value"	"FDR"
"547610"	"ENSMUSG00000002992"	"7"	20266654	20266759	"-"	106	1.19512937850794	10.3399758326901	4.43073261432617e-17	1.16010031367566e-11
"547612"	"ENSMUSG00000002992"	"7"	20266654	20266772	"-"	119	1.18923692184742	10.2918377389682	5.58937683199188e-17	1.16010031367566e-11
"322122"	"ENSMUSG00000035875"	"2"	34956375	34956528	"-"	154	2.22844709107039	8.54697317369635	9.53450728471273e-15	1.31928659481661e-09
"533407"	"ENSMUSG00000038521"	"6"	124483914	124483992	"-"	79	1.93630502334061	7.7355721185643	1.52691540471863e-13	7.9229540842168e-09
"533408"	"ENSMUSG00000038521"	"6"	124483914	124483992	"-"	79	1.93630502334061	7.7355721185643	1.52691540471863e-13	7.9229540842168e-09
"533409"	"ENSMUSG00000038521"	"6"	124483914	124483992	"-"	79	1.93630502334061	7.7355721185643	1.52691540471863e-13	7.9229540842168e-09
"533410"	"ENSMUSG00000038521"	"6"	124483914	124483992	"-"	79	1.93630502334061	7.7355721185643	1.52691540471863e-13	7.9229540842168e-09
"533411"	"ENSMUSG00000038521"	"6"	124483914	124483992	"-"	79	1.93630502334061	7.7355721185643	1.52691540471863e-13	7.9229540842168e-09
"322123"	"ENSMUSG00000035875"	"2"	34956848	34957063	"-"	216	2.35979502856839	7.54085934026997	3.29119474531866e-12	1.51800506614943e-07
"139027"	"ENSMUSG00000021069"	"12"	71331958	71332475	"-"	518	-2.45682862081138	-7.25105684016383	7.27864985729609e-12	3.02143306361232e-07
